Up To,Percent of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Use Disoder,Mental Health and Sub. Use Disorder Freq.,Imaging,Avg. Imaging Freq,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,Preventive (Combined),Avg. Prev. Freq (Combined),Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,OP Surgery,OP Surgery Freq.,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
"$5,500",0.21%,"$1,611.14","$5,449.64",$107.28,0.069,$4.50,0.002,$150.37,0.923,$92.59,0.613,$33.63,0.342,$22.13,0.045,$0.54,0.006,$20.89,0.473,$81.76,1.234,$67.18,2.534,$77.76,0.574,$40.17,0.385,$5.57,0.049,$32.02,0.14,$0.01,0,$123.27,1.394,0.006,0,$127.70,4.806,$85.19,0.641,$9.08,0.044,$0.26,0.003,$1.49,0.023,$32.14,0.32,$8.43,0.009,$13.69,0.036,$0.11,0.001,$0.43,0.005,$3.90,0.052,$16.99,0.421,$17.80,0.341,$49.38,2.193,$25.06,0.396,$98.22,0.997,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,$78.05,0.51,$39.26,0.27,$20.06,0.14,$10.74,0.08,$5.96,0.05,$3.41,0.03,$2.02,0.02,$1.25,0.01,$0.79,0.01,$0.50,0.01
"$5,600",0.20%,"$1,624.93","$5,548.00",$109.47,0.07,$4.63,0.002,$150.83,0.926,$93.35,0.619,$34.00,0.346,$22.46,0.046,$0.55,0.006,$21.21,0.479,$82.45,1.237,$67.60,2.544,$78.25,0.577,$40.41,0.387,$5.59,0.049,$32.25,0.14,$0.01,0,$124.77,1.403,0.006,0,$128.74,4.831,$86.88,0.645,$9.26,0.044,$0.28,0.003,$1.51,0.023,$32.49,0.323,$8.60,0.009,$13.86,0.037,$0.11,0.001,$0.44,0.005,$4.02,0.053,$17.19,0.426,$17.94,0.343,$49.66,2.201,$26.02,0.402,$98.74,1.002,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,$78.43,0.51,$39.53,0.27,$20.24,0.14,$10.86,0.08,$6.03,0.05,$3.46,0.03,$2.05,0.02,$1.27,0.01,$0.81,0.01,$0.51,0.01
"$5,700",0.18%,"$1,638.53","$5,650.18",$111.62,0.071,$4.74,0.002,$151.28,0.928,$94.14,0.623,$34.45,0.349,$22.98,0.047,$0.55,0.006,$21.51,0.485,$83.17,1.241,$68.08,2.555,$78.94,0.58,$40.65,0.389,$5.63,0.049,$32.66,0.14,$0.01,0,$125.90,1.412,0.006,0,$129.54,4.853,$88.08,0.649,$9.35,0.045,$0.29,0.003,$1.53,0.023,$32.93,0.326,$8.94,0.009,$14.04,0.037,$0.11,0.001,$0.45,0.005,$4.09,0.054,$17.42,0.431,$18.09,0.345,$49.99,2.21,$26.59,0.405,$99.31,1.006,0.002,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,$78.79,0.51,$39.79,0.27,$20.41,0.15,$10.97,0.08,$6.10,0.05,$3.50,0.03,$2.08,0.02,$1.29,0.01,$0.82,0.01,$0.52,0.01
"$5,800",0.18%,"$1,651.95","$5,750.68",$113.49,0.072,$4.86,0.002,$151.63,0.931,$94.87,0.627,$34.99,0.354,$23.56,0.047,$0.57,0.006,$21.75,0.49,$83.81,1.245,$68.56,2.565,$79.51,0.584,$40.89,0.391,$5.65,0.05,$32.97,0.14,$0.01,0,$127.41,1.42,0.006,0,$130.30,4.871,$89.44,0.653,$9.42,0.045,$0.30,0.003,$1.56,0.024,$33.43,0.331,$9.35,0.01,$14.21,0.037,$0.11,0.001,$0.46,0.005,$4.16,0.055,$17.60,0.435,$18.25,0.347,$50.31,2.218,$27.56,0.41,$99.85,1.01,0.002,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,$79.06,0.52,$39.96,0.27,$20.53,0.15,$11.05,0.08,$6.15,0.05,$3.53,0.03,$2.10,0.02,$1.31,0.01,$0.84,0.01,$0.53,0.01
"$5,900",0.19%,"$1,665.18","$5,848.16",$115.92,0.073,$5.16,0.002,$152.11,0.933,$95.46,0.631,$35.35,0.357,$23.94,0.048,$0.58,0.006,$22.18,0.497,$84.63,1.249,$69.03,2.575,$80.03,0.586,$41.10,0.393,$5.70,0.05,$33.22,0.14,$0.01,0,$128.81,1.43,0.006,0,$131.14,4.89,$90.78,0.657,$9.60,0.045,$0.30,0.003,$1.57,0.024,$33.78,0.333,$9.57,0.01,$14.38,0.038,$0.11,0.001,$0.47,0.005,$4.35,0.056,$17.82,0.441,$18.41,0.349,$50.62,2.226,$28.25,0.414,$100.57,1.015,0.002,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,$79.45,0.52,$40.27,0.28,$20.76,0.15,$11.22,0.08,$6.27,0.05,$3.62,0.03,$2.17,0.02,$1.36,0.01,$0.87,0.01,$0.55,0.01
"$6,000",0.16%,"$1,678.24","$5,950.58",$117.52,0.073,$5.33,0.002,$152.51,0.936,$96.14,0.635,$35.64,0.36,$24.36,0.049,$0.60,0.007,$22.41,0.501,$85.48,1.253,$69.58,2.586,$80.51,0.59,$41.31,0.395,$5.76,0.05,$33.45,0.14,$0.01,0,$130.12,1.437,0.006,0,$131.85,4.905,$91.91,0.66,$9.82,0.046,$0.31,0.003,$1.59,0.024,$34.05,0.336,$9.76,0.01,$14.60,0.038,$0.11,0.001,$0.49,0.006,$4.42,0.057,$17.99,0.444,$18.63,0.353,$50.95,2.234,$29.07,0.419,$101.05,1.019,0.002,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,$79.76,0.52,$40.50,0.28,$20.92,0.15,$11.32,0.08,$6.33,0.05,$3.66,0.03,$2.19,0.02,$1.37,0.01,$0.88,0.01,$0.56,0.01
"$6,100",0.18%,"$1,691.12","$6,049.44",$119.65,0.074,$5.51,0.002,$152.90,0.938,$96.85,0.639,$36.11,0.363,$24.98,0.049,$0.60,0.007,$22.81,0.508,$86.15,1.257,$70.03,2.597,$81.05,0.593,$41.54,0.397,$5.79,0.05,$33.72,0.15,$0.01,0,$131.56,1.446,0.006,0,$132.48,4.921,$93.33,0.663,$9.92,0.046,$0.31,0.003,$1.62,0.024,$34.49,0.339,$10.20,0.01,$14.78,0.039,$0.11,0.001,$0.49,0.006,$4.56,0.058,$18.25,0.451,$18.79,0.356,$51.24,2.241,$29.97,0.423,$101.59,1.023,0.002,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,$80.06,0.52,$40.70,0.28,$21.04,0.15,$11.39,0.08,$6.38,0.05,$3.70,0.03,$2.22,0.02,$1.39,0.01,$0.89,0.01,$0.57,0.01
"$6,200",0.17%,"$1,703.84","$6,149.70",$121.94,0.075,$5.69,0.002,$153.37,0.941,$97.72,0.644,$36.32,0.366,$25.61,0.05,$0.62,0.007,$23.10,0.515,$86.63,1.261,$70.48,2.608,$81.52,0.596,$41.69,0.399,$5.82,0.051,$34.01,0.15,$0.01,0,$133.11,1.455,0.007,0,$133.28,4.94,$94.60,0.666,$9.98,0.046,$0.32,0.003,$1.66,0.025,$34.66,0.341,$10.61,0.011,$15.00,0.04,$0.11,0.001,$0.51,0.006,$4.59,0.058,$18.51,0.457,$18.95,0.358,$51.53,2.249,$30.91,0.428,$102.21,1.027,0.002,0.003,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,$80.41,0.52,$40.94,0.28,$21.20,0.15,$11.50,0.08,$6.46,0.05,$3.75,0.03,$2.25,0.02,$1.41,0.01,$0.91,0.01,$0.58,0.01
"$6,300",0.16%,"$1,716.39","$6,248.36",$123.71,0.075,$5.83,0.002,$153.77,0.943,$98.29,0.647,$36.77,0.369,$26.08,0.051,$0.63,0.007,$23.31,0.518,$87.29,1.264,$70.92,2.618,$82.16,0.599,$41.95,0.401,$5.83,0.051,$34.38,0.15,$0.01,0,$134.40,1.463,0.007,0,$134.10,4.958,$95.86,0.669,$10.07,0.046,$0.32,0.003,$1.68,0.025,$35.08,0.344,$10.90,0.011,$15.18,0.04,$0.11,0.001,$0.51,0.006,$4.64,0.059,$18.67,0.46,$19.12,0.361,$51.80,2.257,$31.70,0.432,$102.71,1.031,0.002,0.003,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,$80.72,0.53,$41.15,0.28,$21.33,0.15,$11.59,0.09,$6.52,0.05,$3.79,0.03,$2.27,0.02,$1.42,0.01,$0.92,0.01,$0.58,0.01
"$6,400",0.15%,"$1,728.78","$6,346.97",$125.61,0.076,$5.99,0.002,$154.14,0.945,$98.89,0.651,$36.93,0.371,$26.51,0.051,$0.84,0.009,$23.58,0.523,$87.84,1.268,$71.44,2.627,$82.69,0.602,$42.18,0.403,$5.85,0.051,$34.66,0.15,$0.01,0,$136.02,1.472,0.007,0,$134.64,4.971,$97.01,0.671,$10.18,0.047,$0.33,0.003,$1.69,0.025,$35.24,0.346,$11.13,0.011,$15.38,0.04,$0.11,0.001,$0.73,0.008,$4.74,0.06,$18.84,0.464,$19.36,0.363,$52.08,2.264,$32.62,0.437,$103.41,1.035,0.002,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,$81.00,0.53,$41.36,0.28,$21.47,0.15,$11.68,0.09,$6.57,0.05,$3.81,0.03,$2.29,0.02,$1.44,0.01,$0.92,0.01,$0.59,0.01
"$6,500",0.15%,"$1,741.03","$6,449.33",$127.42,0.077,$6.18,0.002,$154.56,0.948,$99.48,0.655,$37.28,0.375,$26.84,0.052,$0.85,0.009,$23.94,0.532,$88.67,1.271,$71.88,2.635,$83.15,0.605,$42.34,0.405,$5.89,0.051,$34.92,0.15,$0.01,0,$137.44,1.48,0.007,0,$135.38,4.986,$98.13,0.674,$10.32,0.047,$0.35,0.003,$1.77,0.027,$35.50,0.348,$11.32,0.011,$15.52,0.041,$0.11,0.001,$0.74,0.008,$4.84,0.061,$19.10,0.47,$19.54,0.365,$52.34,2.27,$33.44,0.442,$104.00,1.039,0.002,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,$81.32,0.53,$41.59,0.28,$21.63,0.15,$11.78,0.09,$6.65,0.05,$3.87,0.03,$2.33,0.02,$1.47,0.01,$0.95,0.01,$0.61,0.01
"$6,600",0.14%,"$1,753.13","$6,550.51",$129.41,0.077,$6.37,0.002,$154.91,0.95,$100.01,0.658,$37.58,0.377,$27.29,0.053,$0.86,0.009,$24.25,0.538,$89.23,1.275,$72.35,2.644,$83.53,0.607,$42.47,0.406,$5.92,0.051,$35.13,0.15,$0.01,0,$138.76,1.487,0.007,0,$135.98,5.002,$99.34,0.677,$10.43,0.047,$0.35,0.003,$1.78,0.027,$35.80,0.35,$11.62,0.011,$15.68,0.041,$0.11,0.001,$0.74,0.008,$4.93,0.062,$19.32,0.475,$19.72,0.367,$52.63,2.277,$34.35,0.446,$104.41,1.042,0.002,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.006,$81.58,0.53,$41.76,0.28,$21.74,0.15,$11.85,0.09,$6.69,0.05,$3.90,0.03,$2.35,0.02,$1.48,0.01,$0.96,0.01,$0.62,0.01
"$6,700",0.16%,"$1,765.08","$6,649.46",$131.84,0.078,$6.76,0.003,$155.32,0.952,$100.78,0.662,$37.83,0.381,$27.79,0.053,$0.86,0.009,$24.48,0.541,$89.98,1.279,$72.87,2.653,$84.06,0.61,$42.65,0.408,$5.94,0.052,$35.47,0.15,$0.01,0,$140.21,1.497,0.008,0,$136.54,5.017,$100.37,0.68,$10.53,0.047,$0.36,0.003,$1.79,0.027,$36.04,0.354,$11.93,0.012,$15.86,0.042,$0.12,0.001,$0.75,0.008,$5.00,0.063,$19.48,0.479,$19.96,0.37,$52.90,2.282,$35.18,0.451,$105.02,1.046,0.002,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,$81.93,0.53,$42.03,0.29,$21.95,0.16,$12.02,0.09,$6.82,0.05,$4.00,0.03,$2.43,0.02,$1.55,0.01,$1.01,0.01,$0.66,0.01
"$6,800",0.13%,"$1,776.88","$6,748.63",$133.52,0.079,$6.99,0.003,$155.62,0.954,$101.38,0.667,$38.21,0.384,$28.10,0.054,$0.87,0.009,$24.73,0.546,$90.45,1.281,$73.27,2.66,$84.42,0.612,$42.80,0.409,$5.97,0.052,$35.65,0.15,$0.01,0,$141.47,1.503,0.008,0,$137.22,5.031,$101.58,0.683,$10.61,0.047,$0.37,0.003,$1.81,0.027,$36.40,0.356,$12.09,0.012,$16.01,0.042,$0.11,0.001,$0.76,0.008,$5.07,0.063,$19.66,0.483,$20.10,0.372,$53.16,2.288,$35.95,0.454,$105.52,1.049,0.002,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,$82.15,0.54,$42.18,0.29,$22.05,0.16,$12.08,0.09,$6.86,0.05,$4.02,0.03,$2.45,0.02,$1.56,0.01,$1.01,0.01,$0.66,0.01
"$6,900",0.13%,"$1,788.56","$6,846.65",$135.22,0.079,$7.16,0.003,$155.87,0.956,$101.94,0.67,$38.57,0.386,$28.46,0.054,$0.88,0.009,$24.93,0.549,$90.87,1.284,$73.67,2.668,$84.76,0.614,$42.94,0.41,$5.99,0.052,$35.84,0.15,$0.01,0,$142.79,1.51,0.008,0,$137.84,5.045,$102.93,0.686,$10.70,0.048,$0.37,0.003,$1.83,0.028,$36.74,0.359,$12.30,0.012,$16.16,0.042,$0.11,0.001,$0.76,0.008,$5.11,0.064,$19.82,0.486,$20.25,0.374,$53.42,2.294,$36.79,0.457,$106.00,1.052,0.002,0.004,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,$82.34,0.54,$42.32,0.29,$22.13,0.16,$12.14,0.09,$6.90,0.05,$4.05,0.03,$2.47,0.02,$1.57,0.01,$1.03,0.01,$0.67,0.01
"$7,000",0.13%,"$1,800.11","$6,952.82",$136.93,0.08,$7.41,0.003,$156.19,0.958,$102.48,0.673,$39.05,0.392,$28.86,0.055,$0.89,0.009,$25.20,0.554,$91.34,1.287,$74.05,2.676,$85.12,0.616,$43.09,0.412,$6.01,0.052,$36.02,0.15,$0.01,0,$144.21,1.516,0.008,0,$138.47,5.06,$104.14,0.688,$10.80,0.048,$0.40,0.003,$1.86,0.028,$37.19,0.364,$12.58,0.012,$16.28,0.043,$0.11,0.001,$0.77,0.008,$5.28,0.066,$19.92,0.488,$20.40,0.376,$53.65,2.3,$37.76,0.461,$106.46,1.055,0.002,0.004,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,$82.58,0.54,$42.49,0.29,$22.26,0.16,$12.23,0.09,$6.97,0.05,$4.10,0.03,$2.50,0.02,$1.60,0.01,$1.04,0.01,$0.68,0.01
"$7,100",0.13%,"$1,811.53","$7,052.42",$139.12,0.081,$7.63,0.003,$156.49,0.959,$102.95,0.675,$39.45,0.395,$29.28,0.055,$0.90,0.009,$25.41,0.558,$91.77,1.289,$74.52,2.684,$85.58,0.618,$43.27,0.413,$6.02,0.052,$36.29,0.15,$0.01,0,$145.43,1.523,0.008,0,$139.20,5.074,$105.42,0.691,$10.93,0.048,$0.41,0.003,$1.90,0.028,$37.55,0.367,$12.88,0.012,$16.40,0.043,$0.11,0.001,$0.79,0.008,$5.34,0.067,$20.06,0.491,$20.60,0.378,$53.92,2.306,$38.56,0.465,$106.87,1.058,0.002,0.004,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,$82.82,0.54,$42.68,0.29,$22.40,0.16,$12.33,0.09,$7.04,0.05,$4.15,0.03,$2.54,0.02,$1.62,0.01,$1.06,0.01,$0.69,0.01
"$7,200",0.13%,"$1,822.82","$7,150.58",$140.82,0.081,$7.97,0.003,$156.79,0.961,$103.65,0.68,$39.67,0.397,$29.58,0.056,$0.91,0.009,$25.70,0.562,$92.31,1.292,$74.96,2.693,$86.08,0.62,$43.47,0.414,$6.05,0.052,$36.56,0.15,$0.01,0,$146.94,1.53,0.008,0,$139.76,5.088,$106.68,0.694,$11.02,0.049,$0.42,0.003,$1.92,0.029,$37.75,0.368,$13.05,0.012,$16.54,0.043,$0.11,0.001,$0.79,0.008,$5.51,0.068,$20.19,0.494,$20.79,0.381,$54.17,2.312,$39.51,0.469,$107.43,1.062,0.002,0.004,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,$83.05,0.54,$42.84,0.29,$22.51,0.16,$12.41,0.09,$7.09,0.05,$4.20,0.03,$2.58,0.02,$1.65,0.01,$1.09,0.01,$0.71,0.01
"$7,300",0.12%,"$1,833.99","$7,250.78",$142.35,0.082,$8.27,0.003,$157.05,0.963,$104.15,0.683,$39.93,0.399,$30.04,0.056,$0.93,0.01,$25.93,0.566,$92.78,1.294,$75.42,2.702,$86.61,0.623,$43.63,0.416,$6.07,0.053,$36.91,0.15,$0.01,0,$148.31,1.537,0.008,0,$140.46,5.103,$107.53,0.696,$11.11,0.049,$0.44,0.003,$1.95,0.029,$37.98,0.37,$13.37,0.013,$16.68,0.044,$0.11,0.001,$0.82,0.009,$5.56,0.069,$20.37,0.497,$20.96,0.383,$54.46,2.319,$40.39,0.473,$107.91,1.064,0.003,0.004,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.007,$83.26,0.54,$42.99,0.29,$22.62,0.16,$12.48,0.09,$7.14,0.05,$4.23,0.03,$2.60,0.02,$1.67,0.01,$1.10,0.01,$0.72,0.01
"$7,400",0.13%,"$1,845.03","$7,351.12",$144.15,0.082,$8.45,0.003,$157.27,0.964,$104.74,0.687,$40.23,0.403,$30.53,0.057,$0.94,0.01,$26.26,0.571,$93.21,1.297,$75.90,2.71,$87.11,0.625,$43.82,0.417,$6.11,0.053,$37.18,0.15,$0.01,0,$149.84,1.545,0.008,0,$141.06,5.117,$108.87,0.699,$11.21,0.049,$0.45,0.003,$1.96,0.029,$38.28,0.373,$13.66,0.013,$16.87,0.044,$0.11,0.001,$0.82,0.009,$5.70,0.07,$20.56,0.501,$21.23,0.386,$54.66,2.324,$41.46,0.478,$108.37,1.067,0.003,0.004,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,$83.43,0.54,$43.11,0.29,$22.69,0.16,$12.53,0.09,$7.17,0.05,$4.25,0.03,$2.61,0.02,$1.68,0.01,$1.11,0.01,$0.73,0.01
"$7,500",0.13%,"$1,855.94","$7,447.14",$146.09,0.083,$8.71,0.003,$157.62,0.967,$105.42,0.691,$40.50,0.405,$30.95,0.058,$0.96,0.01,$26.45,0.574,$93.86,1.3,$76.38,2.717,$87.62,0.628,$43.98,0.419,$6.13,0.053,$37.52,0.16,$0.01,0,$151.21,1.552,0.009,0,$141.58,5.13,$110.22,0.702,$11.35,0.049,$0.47,0.003,$1.99,0.03,$38.51,0.375,$13.94,0.013,$17.01,0.045,$0.13,0.001,$0.83,0.009,$5.76,0.071,$20.69,0.504,$21.50,0.388,$54.88,2.329,$42.36,0.482,$108.85,1.07,0.003,0.005,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.007,$83.72,0.55,$43.34,0.3,$22.87,0.16,$12.66,0.09,$7.27,0.06,$4.33,0.03,$2.68,0.02,$1.73,0.02,$1.14,0.01,$0.75,0.01
"$7,600",0.12%,"$1,866.73","$7,551.96",$147.83,0.084,$8.98,0.003,$157.93,0.969,$105.88,0.695,$40.82,0.407,$31.29,0.058,$0.96,0.01,$26.71,0.578,$94.26,1.302,$76.78,2.725,$87.98,0.63,$44.11,0.42,$6.15,0.053,$37.72,0.16,$0.01,0,$152.44,1.559,0.009,0,$142.22,5.143,$111.92,0.705,$11.46,0.05,$0.48,0.003,$2.01,0.03,$38.81,0.377,$14.16,0.013,$17.13,0.045,$0.13,0.001,$0.83,0.009,$5.89,0.072,$20.82,0.506,$21.65,0.39,$55.13,2.335,$43.15,0.485,$109.30,1.073,0.003,0.005,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,$83.96,0.55,$43.51,0.3,$22.98,0.16,$12.74,0.09,$7.32,0.06,$4.36,0.03,$2.70,0.02,$1.74,0.02,$1.15,0.01,$0.76,0.01
"$7,700",0.12%,"$1,877.40","$7,648.82",$149.74,0.084,$9.48,0.003,$158.20,0.97,$106.40,0.698,$41.03,0.41,$31.68,0.059,$0.98,0.01,$26.92,0.582,$94.76,1.305,$77.17,2.733,$88.28,0.632,$44.22,0.422,$6.15,0.053,$37.91,0.16,$0.01,0,$154.22,1.567,0.009,0,$142.64,5.153,$112.93,0.707,$11.55,0.05,$0.49,0.003,$2.02,0.03,$39.01,0.38,$14.43,0.013,$17.25,0.045,$0.13,0.001,$0.85,0.009,$5.97,0.073,$20.95,0.509,$21.82,0.393,$55.35,2.34,$44.53,0.49,$109.69,1.076,0.003,0.005,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,$84.17,0.55,$43.67,0.3,$23.09,0.16,$12.82,0.09,$7.38,0.06,$4.40,0.03,$2.72,0.02,$1.75,0.02,$1.16,0.01,$0.76,0.01
"$7,800",0.10%,"$1,887.96","$7,751.42",$151.39,0.085,$9.81,0.003,$158.43,0.972,$106.82,0.7,$41.25,0.411,$31.98,0.059,$0.99,0.01,$27.15,0.585,$95.18,1.306,$77.48,2.739,$88.67,0.634,$44.37,0.423,$6.17,0.053,$38.14,0.16,$0.01,0,$155.23,1.573,0.009,0,$143.11,5.164,$114.16,0.71,$11.75,0.05,$0.63,0.003,$2.03,0.03,$39.21,0.381,$14.60,0.014,$17.37,0.045,$0.13,0.001,$0.86,0.009,$6.08,0.074,$21.07,0.512,$21.95,0.395,$55.53,2.344,$45.13,0.493,$110.09,1.079,0.003,0.005,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,$84.36,0.55,$43.79,0.3,$23.18,0.16,$12.87,0.09,$7.42,0.06,$4.43,0.03,$2.74,0.02,$1.77,0.02,$1.17,0.01,$0.78,0.01
"$7,900",0.10%,"$1,898.41","$7,848.42",$152.95,0.085,$10.01,0.003,$158.71,0.973,$107.22,0.702,$41.54,0.414,$32.34,0.059,$1.15,0.011,$27.33,0.588,$95.49,1.308,$77.85,2.745,$89.09,0.636,$44.50,0.424,$6.17,0.053,$38.42,0.16,$0.01,0,$156.37,1.579,0.009,0,$143.65,5.174,$115.52,0.712,$11.84,0.05,$0.65,0.004,$2.05,0.03,$39.48,0.384,$14.80,0.014,$17.53,0.046,$0.13,0.001,$1.02,0.01,$6.14,0.074,$21.19,0.514,$22.08,0.397,$55.77,2.349,$45.95,0.497,$110.42,1.082,0.003,0.005,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,$84.57,0.55,$43.95,0.3,$23.29,0.16,$12.94,0.09,$7.47,0.06,$4.46,0.04,$2.76,0.02,$1.78,0.02,$1.18,0.01,$0.78,0.01
"$8,000",0.11%,"$1,908.76","$7,946.26",$154.77,0.086,$10.30,0.003,$158.99,0.975,$107.60,0.705,$41.85,0.416,$32.69,0.06,$1.15,0.011,$27.56,0.592,$95.88,1.311,$78.24,2.753,$89.38,0.638,$44.62,0.426,$6.19,0.053,$38.57,0.16,$0.01,0,$157.66,1.585,0.01,0,$144.44,5.186,$116.80,0.715,$12.03,0.051,$0.67,0.004,$2.06,0.03,$39.79,0.386,$15.04,0.014,$17.65,0.046,$0.13,0.001,$1.02,0.01,$6.21,0.075,$21.35,0.517,$22.28,0.399,$55.97,2.355,$46.88,0.5,$110.78,1.084,0.003,0.005,0.006,0.007,0.007,0.007,0.007,0.007,0.008,0.008,$84.80,0.55,$44.11,0.3,$23.40,0.17,$13.02,0.09,$7.52,0.06,$4.50,0.04,$2.79,0.02,$1.80,0.02,$1.19,0.01,$0.79,0.01
"$8,100",0.11%,"$1,919.00","$8,049.88",$156.60,0.086,$10.62,0.003,$159.23,0.976,$108.15,0.708,$42.01,0.417,$33.02,0.06,$1.15,0.011,$27.74,0.595,$96.37,1.313,$78.57,2.761,$89.67,0.64,$44.76,0.427,$6.19,0.053,$38.72,0.16,$0.01,0,$158.90,1.59,0.01,0,$145.05,5.198,$118.14,0.718,$12.24,0.051,$0.70,0.004,$2.08,0.03,$39.93,0.387,$15.22,0.014,$17.80,0.046,$0.13,0.001,$1.02,0.01,$6.28,0.075,$21.45,0.519,$22.38,0.4,$56.19,2.361,$47.80,0.504,$111.10,1.086,0.003,0.005,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.008,$84.99,0.55,$44.25,0.3,$23.50,0.17,$13.10,0.1,$7.57,0.06,$4.54,0.04,$2.82,0.02,$1.82,0.02,$1.21,0.01,$0.80,0.01
"$8,200",0.10%,"$1,929.13","$8,150.17",$158.07,0.087,$10.87,0.003,$159.39,0.977,$108.63,0.711,$42.24,0.419,$33.30,0.061,$1.17,0.012,$27.90,0.597,$96.80,1.316,$78.89,2.767,$90.18,0.642,$44.92,0.428,$6.22,0.054,$39.04,0.16,$0.01,0,$160.15,1.597,0.01,0,$145.51,5.207,$119.59,0.72,$12.32,0.051,$0.72,0.004,$2.10,0.031,$40.14,0.389,$15.38,0.014,$17.91,0.047,$0.13,0.001,$1.04,0.01,$6.34,0.076,$21.57,0.522,$22.53,0.402,$56.37,2.365,$48.70,0.508,$111.44,1.089,0.003,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.008,$85.12,0.55,$44.34,0.3,$23.57,0.17,$13.14,0.1,$7.60,0.06,$4.55,0.04,$2.82,0.02,$1.82,0.02,$1.21,0.01,$0.80,0.01
