plan_id,age,premium_single
67138CA0510208-33,14,315.990000000
67138CA0510208-33,20,399.870000000
67138CA0510208-33,21,412.140000000
67138CA0510208-33,18,376.550000000
67138CA0510208-33,19,388.000000000
67138CA0510208-33,25,413.780000000
67138CA0510208-33,24,412.140000000
67138CA0510208-33,23,412.140000000
67138CA0510208-33,22,412.140000000
67138CA0510208-33,26,421.960000000
67138CA0510208-33,27,431.780000000
67138CA0510208-33,28,447.740000000
67138CA0510208-33,32,487.010000000
67138CA0510208-33,30,467.370000000
67138CA0510208-33,29,460.830000000
67138CA0510208-33,33,493.150000000
67138CA0510208-33,31,477.190000000
67138CA0510208-33,37,509.520000000
67138CA0510208-33,36,506.240000000
67138CA0510208-33,34,499.700000000
67138CA0510208-33,35,502.970000000
67138CA0510208-33,41,535.700000000
67138CA0510208-33,40,525.880000000
67138CA0510208-33,39,519.340000000
67138CA0510208-33,38,512.790000000
67138CA0510208-33,43,558.200000000
67138CA0510208-33,42,545.110000000
67138CA0510208-33,44,574.570000000
67138CA0510208-33,47,642.490000000
67138CA0510208-33,46,616.710000000
67138CA0510208-33,48,671.940000000
67138CA0510208-33,45,593.800000000
67138CA0510208-33,49,700.990000000
67138CA0510208-33,51,766.050000000
67138CA0510208-33,50,733.730000000
67138CA0510208-33,52,801.640000000
67138CA0510208-33,54,876.520000000
67138CA0510208-33,56,957.520000000
67138CA0510208-33,53,837.650000000
67138CA0510208-33,55,915.380000000
67138CA0510208-33,58,1045.490000000
67138CA0510208-33,57,1000.080000000
67138CA0510208-33,59,1067.990000000
67138CA0510208-33,60,1113.410000000
67138CA0510208-33,61,1152.680000000
67138CA0510208-33,63,1210.780000000
67138CA0510208-33,62,1178.460000000
67138CA0510208-33,64,1230.420000000
67138CA0510208-33,65,1230.420000000
67138CA0600027-33,0,290.110000000
67138CA0600027-33,2,290.110000000
67138CA0600027-33,1,290.110000000
67138CA0600027-33,3,290.110000000
67138CA0600027-33,6,290.110000000
67138CA0600027-33,5,290.110000000
67138CA0600027-33,4,290.110000000
67138CA0600027-33,7,290.110000000
67138CA0600027-33,8,290.110000000
67138CA0600027-33,10,290.110000000
67138CA0600027-33,9,290.110000000
67138CA0600027-33,11,290.110000000
67138CA0600027-33,14,290.110000000
67138CA0600027-33,13,290.110000000
67138CA0600027-33,12,290.110000000
67138CA0600027-33,15,315.630000000
67138CA0600027-33,17,335.150000000
67138CA0600027-33,18,345.660000000
67138CA0600027-33,16,325.390000000
67138CA0600027-33,22,378.310000000
67138CA0600027-33,19,356.170000000
67138CA0600027-33,20,367.050000000
67138CA0600027-33,21,378.310000000
67138CA0600027-33,24,378.310000000
67138CA0600027-33,26,387.320000000
67138CA0600027-33,23,378.310000000
67138CA0600027-33,25,379.810000000
67138CA0600027-33,27,396.330000000
67138CA0600027-33,30,428.980000000
67138CA0600027-33,28,410.960000000
67138CA0600027-33,29,422.970000000
67138CA0600027-33,32,446.990000000
67138CA0600027-33,31,437.990000000
67138CA0600027-33,34,458.630000000
67138CA0600027-33,33,452.620000000
67138CA0600027-33,37,467.640000000
67138CA0600027-33,35,461.630000000
67138CA0600027-33,38,470.640000000
67138CA0600027-33,36,464.630000000
67138CA0600027-33,40,482.650000000
67138CA0600027-33,41,491.660000000
67138CA0600027-33,39,476.640000000
67138CA0600027-33,42,500.290000000
67138CA0600027-33,43,512.300000000
67138CA0600027-33,44,527.310000000
67138CA0600027-33,45,544.950000000
67138CA0600027-33,49,643.280000000
67138CA0600027-33,47,589.610000000
67138CA0600027-33,46,565.970000000
67138CA0600027-33,48,616.630000000
67138CA0600027-33,51,702.960000000
67138CA0600027-33,52,735.610000000
67138CA0600027-33,53,768.640000000
67138CA0600027-33,50,673.310000000
67138CA0600027-33,57,917.640000000
67138CA0600027-33,55,839.950000000
67138CA0600027-33,54,804.290000000
67138CA0600027-33,56,878.600000000
